Name,Min[10:],Min,Max,Mean,Std,Median
gru_lsg.py,0.03425908088684082,0.034071922302246094,0.68292808532714844,0.047442440986633298,0.090786227353153309,0.034355878829956055
Name,Min[10:],Min,Max,Mean,Std,Median
gru_tf.py,0.053150177001953125,0.051562070846557617,0.19268488883972168,0.056890802383422853,0.019438784089348266,0.054187417030334473
Name,Min[10:],Min,Max,Mean,Std,Median
gru_torch.py,0.016692161560058594,0.0054190158843994141,0.34115695953369141,0.023038082122802735,0.045484658216626936,0.016927480697631836
Name,Min[10:],Min,Max,Mean,Std,Median
gru_lsg.py,0.34375596046447754,0.34255290031433105,1.0719239711761475,0.35923440933227541,0.10181788492858503,0.34466540813446045
Name,Min[10:],Min,Max,Mean,Std,Median
gru_tf.py,0.54495406150817871,0.5316779613494873,0.67296290397644043,0.55482395172119137,0.023890396685080965,0.54969096183776855
Name,Min[10:],Min,Max,Mean,Std,Median
gru_torch.py,0.11962699890136719,0.11840605735778809,0.43139004707336426,0.12675748348236085,0.04355512996957988,0.11989998817443848
Name,Min[10:],Min,Max,Mean,Std,Median
gru_torch.py,0.11496496200561523,0.11473894119262695,0.41100311279296875,0.12176865100860595,0.041366340024684131,0.11557292938232422
